"id_producto";"referencia";"categoria_01";"categoria_02";"categoria_03";"categoria_04";"categoria_05";"categoria_06";"categoria_07";"categoria_08";"categoria_09";"categoria_10";"categoria_11";"categoria_12";"categoria_13";"categoria_14";"categoria_15";"categoria_16";"categoria_17";"categoria_18";"categoria_19";"categoria_20";"categoria_21";"categoria_22";"categoria_23";"categoria_24";"categoria_25";"categoria_26";"categoria_27";"categoria_28";"categoria_29";"categoria_30";"categoria_31";"categoria_32";"categoria_33";"categoria_34";"categoria_35";"categoria_36";"categoria_37";"categoria_38";"categoria_39";"categoria_40";"categoria_41";"categoria_42";"categoria_43";"categoria_44";"categoria_45";"categoria_46";"categoria_47";"categoria_48";"categoria_49";"categoria_50"
"13321";"PD5816-12";"Juguetes XXX|Accesorios para el pene"
"13322";"PD5818-12";"Juguetes XXX|Accesorios para el pene"
"13328";"PD5819-12";"Juguetes XXX|Accesorios para el pene"
"13332";"PD5822-12";"Juguetes XXX|Accesorios para el pene"
"13333";"PD5824-12";"Juguetes XXX|Accesorios para el pene"
"13334";"PD5825-12";"Juguetes XXX|Accesorios para el pene"
"13335";"PD5826-12";"Juguetes XXX|Accesorios para el pene"
"13336";"PD5901-23";"Juguetes XXX|Accesorios para el pene"
"13337";"PD5902-23";"Juguetes XXX|Accesorios para el pene"
"13338";"PD5903-23";"Juguetes XXX|Accesorios para el pene"
"13339";"PD5904-23";"Juguetes XXX|Accesorios para el pene"
"13340";"PD5905-23";"Juguetes XXX|Accesorios para el pene"
"13341";"PD5906-23";"Juguetes XXX|Accesorios para el pene"
"13342";"PD5907-23";"Juguetes XXX|Accesorios para el pene"
"13343";"PD5908-23";"Juguetes XXX|Accesorios para el pene"
"13344";"PD5909-23";"Juguetes XXX|Accesorios para el pene"
"13346";"PD5912-23";"Juguetes XXX|Accesorios para el pene"
"13348";"PD5915-23";"Juguetes XXX|Accesorios para el pene"
"13350";"PD5924-23";"Juguetes XXX|Accesorios para el pene"
"15172";"PD5927-23";"Juguetes XXX|Accesorios para el pene"
"13353";"PD5929-23";"Juguetes XXX|Accesorios para el pene"
"13354";"PD5930-23";"Juguetes XXX|Accesorios para el pene"
"13355";"PD5931-23";"Juguetes XXX|Accesorios para el pene"
"13356";"PD5932-23";"Juguetes XXX|Accesorios para el pene"
"2131";"D-194031";"Juguetes XXX|Arneses"
"3008";"D-194522";"Juguetes XXX|Arneses"
"3009";"D-194523";"Juguetes XXX|Arneses"
"12657";"D-205163";"Juguetes XXX|Arneses"
"12658";"D-205164";"Juguetes XXX|Arneses"
"12659";"D-205165";"Juguetes XXX|Arneses"
"12660";"D-205166";"Juguetes XXX|Arneses"
